URL,,Cluster1,Cluster2
lifepal.co.id/media/aca-bandung/,,Perusahaan Asuransi,Brand CA
lifepal.co.id/media/asuransi-jiwa-aca/,,Perusahaan Asuransi,Brand CA
lifepal.co.id/media/asuransi-kesehatan-aca/,,Perusahaan Asuransi,Brand CA
lifepal.co.id/media/bengkel-rekanan-aca/,,Perusahaan Asuransi,Brand ACA 
lifepal.co.id/media/klaim-asuransi-aca/,,Perusahaan Asuransi,Brand CA 
lifepal.co.id/media/asuransi-mobil-all-risk-terbaik/,,Asuransi All Risk,Rekomendasi
